Bin,Count
[0.074 - 2.008],8.0
[2.008 - 3.943],8.0
[3.943 - 5.878],5.0
[5.878 - 7.813],3.0
[7.813 - 9.748],5.0
[9.748 - 11.683],3.0
[11.683 - 13.618],5.0
[13.618 - 15.553],3.0
[15.553 - 17.488],4.0
[17.488 - 19.423],6.0
[19.423 - 21.358],4.0
[21.358 - 23.292],10.0
[23.292 - 25.227],9.0
[25.227 - 27.162],10.0
[27.162 - 29.097],16.0
[29.097 - 31.032],6.0
[31.032 - 32.967],8.0
[32.967 - 34.902],10.0
[34.902 - 36.837],10.0
[36.837 - 38.772],13.0
[38.772 - 40.707],15.0
[40.707 - 42.642],9.0
[42.642 - 44.576],11.0
[44.576 - 46.511],9.0
[46.511 - 48.446],6.0
[48.446 - 50.381],5.0
[50.381 - 52.316],13.0
[52.316 - 54.251],11.0
[54.251 - 56.186],7.0
[56.186 - 58.121],5.0
[58.121 - 60.056],3.0
[60.056 - 61.991],7.0
[61.991 - 63.926],3.0
[63.926 - 65.861],2.0
[65.861 - 67.795],4.0
[67.795 - 69.73],1.0
[69.73 - 71.665],4.0
[71.665 - 73.6],2.0
[75.535 - 77.47],1.0
[77.47 - 79.405],1.0
[79.405 - 81.34],3.0
[81.34 - 83.275],3.0
[83.275 - 85.21],2.0
[87.145 - 89.079],3.0
[89.079 - 91.014],1.0
[94.884 - 96.819],1.0
[96.819 - 98.754],1.0
[100.689 - 102.624],2.0
[102.624 - 104.559],2.0
[104.559 - 106.494],2.0
[106.494 - 108.429],4.0
[108.429 - 110.363],1.0
[110.363 - 112.298],1.0
[112.298 - 114.233],1.0
[118.103 - 120.038],1.0
[120.038 - 121.973],1.0
[129.713 - 131.648],1.0
[133.582 - 135.517],1.0
[135.517 - 137.452],1.0
[137.452 - 139.387],1.0
[139.387 - 141.322],1.0
[141.322 - 143.257],1.0
[149.062 - 150.997],1.0
[158.736 - 160.671],1.0
[176.15 - 178.085],1.0
[191.63 - 193.565],1.0
